id,week_start_date,week_end_date,report_by,sale,tc,ta,cog,waste,unac,sos,gsi,osat,delivery,google_review,col_mtd,waste_top3,unaccounted_top3,created_at,updated_at,store_id
1,2026-02-17,2026-02-23,Ake,"599,481","2,134",281,29.23%,1.11%,3.57%,3.41,,,4.6,4.1,,,,2026-02-16T20:53:52.699Z,2026-02-16T20:53:52.699Z,BK1040
5,2026-03-31,2026-04-06,World,"580,886","2,005",290,24.34%,1.13%,0.56%,3,5%,5%,4.6%,4.1%,15.09%,"1. BK-CR-BEEF - 2,216.25
2. BK-CR-Chicken - 1,094.48
3. BK-CR-PORK - 506","1. CHICKEN-PATTY CRISPY 60G-BK-19-21PC/BAG-14BAG/CASE-BK-R - +3,015.6
2. CHICKEN-THIN COATING CRISPY FRIED CUT10-BK-5PC/BAG-16BAG/CS-BK-R - +2,456.17
3. FISH-POLLOCK PATTY 60G-BK-40PC/BAG-5BAG/CASE-BK-R - +2,281.56",2026-04-06T21:59:20.966Z,2026-04-06T22:41:18.972Z,BK1040
3,2026-03-10,2026-03-16,Ake,"565,919","2,026",279,26.86%,1%,2.18%,3.00,5.00%,5.00%,4.6%,4.1,10.2%,"1. BK-CR-BEEF - ฿2,123.71
2. BK-CR-Chicken - ฿1,109.46
3. BK-CR-BUN - ฿431.55","1. FRENCH FRIES-1/4"" SHOESTRING-2.5KG/BAG-6BAG/CASE-BK-R - ฿3,490.17
2. HASH BROWN-1KG/BAG-10BAG/CASE-CASE-BK-R - ฿2,980.89
3. FISH-POLLOCK PATTY 60G-BK-40PC/BAG-5BAG/CASE-BK-R - ฿1,669.34",2026-03-09T21:13:01.725Z,2026-03-16T22:17:54.338Z,BK1040
2,2026-02-24,2026-03-02,Ake,"651,331","2,268",287,24.54%,0.77%,0.83%,,5.00%,5.0%,4.6,4.1,10.01%,"1. BK-CR-BEEF - 1,753.47
2. BK-CR-Chicken - 1,200.13
3. BK-CR-BUN - 548.90","1. VEG PRECUT-LETTUCE-1KG/BAG-BK-R - -฿1,658.58
2. SAUCE-TOMATO KETCHUP-1KG/BAG-10BAG/CASE-BK-R - -฿1,571.15
3. CHICKEN-BLK SALTED-1KG/BAG-BK-R - -฿1,337.01",2026-03-02T22:16:56.172Z,2026-03-02T22:19:11.136Z,BK1040
4,2026-03-24,2026-03-30,Ake,"670,498","2,542",264,27.15%,1.06%,0.17%,3.03,5%,5%,4.6%,4.1,10.3%,"1. BK-CR-BEEF - ฿1,111.00
2. BK-CR-Chicken - ฿1,251.23
3. BK-CR-PORK - ฿1,630.25","1. VEG-TOMATOES-1KG/BAG-BK-R - -฿1,353.60
2. CHICKEN-BLK SALTED-1KG/BAG-BK-R - -฿1,078.29
3. BEEF-AUS PATTY 4INCH-BK-288PC/CASE-BK-R - -฿878.03",2026-03-30T21:10:05.609Z,2026-03-31T00:30:07.344Z,BK1040
6,2026-04-14,2026-04-20,Ake,"602,232","2,010",300,25.54%,0.77%,0.60%,175,5%,5%,4.6%,4.1,16.87%,"1. BK-CR-BEEF - -฿2,185.00
2. BK-CR-BUN - -฿849.18
3. BK-CR-Chicken - -฿806","1. BEEF-AUS PATTY 4INCH-BK-288PC/CASE-BK-R - -฿3,186.24
2. CHICKEN-BLK SALTED-1KG/BAG-BK-R - -฿1,971
3. BEEF-AUS PATTY 4.0 OZ (113G)-BK-144PC/CASE-BK-R - -฿1,949.02",2026-04-20T23:34:28.603Z,2026-04-20T23:38:08.428Z,BK1040
