id,tx_date,due_date,tx_type,branch,item,qty,unit,borrower,lender,note,status,created_at
tx_1769278633394_ih2rsm,2026-01-23,2026-01-25,borrow_out,br_1768096176424_5oj5im,CHICKEN-THIN COATING CRISPY FRIED CUT10-BK-5PC/BAG-16BAG/CS-BK-R,1,CASE,แมน,เอก,,done,2026-01-24T18:17:13.394Z
tx_1769278633396_wki806,2026-01-23,2026-01-25,borrow_out,br_1768096176424_5oj5im,BEEF-AUS PATTY 4INCH-BK-288PC/CASE-BK-R,100,PC,แมน,เอก,,done,2026-01-24T18:17:13.396Z
tx_1771685633961_b4x4w6,2026-02-21,,borrow_in,br_1768096176546_dlyw15,VEG-TOMATOES-1KG/BAG-BK-R,2,KG,พี่ตาล,เอก,ช่วยใช้,done,2026-02-21T14:53:53.961Z
tx_1771685633964_aj76o4,2026-02-21,,borrow_in,br_1768096176546_dlyw15,VEG-ONION PEELED-1KG/BAG-BK-R,2,KG,พี่ตาล,เอก,ช่วยใช้,done,2026-02-21T14:53:53.964Z
tx_1771685633966_3bdkie,2026-02-21,,borrow_in,br_1768096176546_dlyw15,VEG PRECUT-LETTUCE-1KG/BAG-BK-R,3,KG,พี่ตาล,เอก,ช่วยใช้,done,2026-02-21T14:53:53.966Z
tx_1769278633398_rwphqj,2026-01-23,2026-01-25,borrow_out,br_1768096176424_5oj5im,PIE-STRAWBERRY CREAM CHEESE FROZEN-75G/PC-24PC/CASE-BK-R,1,CASE,แมน,เอก,,done,2026-01-24T18:17:13.398Z
tx_1769278633399_quoac8,2026-01-23,2026-01-25,borrow_out,br_1768096176424_5oj5im,BEEF-AUS PATTY 4.0 OZ (113G)-BK-144PC/CASE-BK-R,100,PC,แมน,เอก,,done,2026-01-24T18:17:13.399Z
tx_1774345353148_jcee3l,2026-03-24,2026-03-24,borrow_out,br_1768096176393_hypupx,VEG DRIED-SLICE PICKLES(TNT)-NW725G/BAG-12BAG/CASE-BK-R,4,BAG,พี่ก้อย,เอก,,pending,2026-03-24T16:42:33+07:00
tx_1774345353505_msyp9v,2026-03-24,2026-03-24,borrow_out,br_1768096176393_hypupx,HASH BROWN-1KG/BAG-10BAG/CASE-CASE-BK-R,3,BAG,พี่ก้อย,เอก,,pending,2026-03-24T16:42:33+07:00
